date,Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V)
2016-11-13 09:00:00,3.43987655639648,2.45516228675842,1.36925315856934,4.28631734848022,0.465277582406998,1.88408888490699E-09,4.25448226928711
2016-11-13 10:00:00,3.42381572723389,2.45516228675842,1.44530975818634,4.30990266799927,0.573941707611084,1.88408888490699E-09,3.87143993377686
2016-11-13 11:00:00,3.40813064575195,2.45516228675842,1.52131986618042,4.33549165725708,0.682609796524048,1.88408888490699E-09,3.82729530334473
2016-11-13 12:00:00,3.39243412017822,2.45516228675842,1.59738624095917,4.36385011672974,0.791269183158875,1.88408888490699E-09,3.79086685180664
2016-11-13 13:00:00,3.37652397155762,2.45516228675842,1.67352652549744,4.39420938491821,0.899939894676209,1.88408888490699E-09,3.75603866577148
2016-11-13 14:00:00,3.35987281799316,2.45516228675842,1.74959683418274,4.40000581741333,1.00542759895325,1.88408888490699E-09,3.72300815582275
2016-11-13 15:00:00,3.34178924560547,2.45516228675842,1.8256641626358,4.40007829666138,1.10278248786926,1.88408888490699E-09,3.69065284729004
2016-11-13 16:00:00,3.32217979431152,2.45516228675842,1.90173327922821,4.40002584457397,1.1929315328598,1.88408888490699E-09,3.65941619873047
2016-11-13 17:00:00,3.30037307739258,2.45516228675842,1.9778106212616,4.40003061294556,1.27686929702759,1.88408888490699E-09,3.62980842590332
2016-11-13 18:00:00,3.27547740936279,2.45516228675842,2.05388116836548,4.39999532699585,1.35545647144318,1.88408888490699E-09,3.6023006439209
2016-11-13 19:00:00,3.24530601501465,2.45516228675842,2.12995052337646,4.40006971359253,1.42935681343079,1.88408888490699E-09,3.57698345184326
2016-11-13 20:00:00,3.20945358276367,2.45516228675842,2.2060182094574,4.40003538131714,1.49917423725128,1.88408888490699E-09,3.55305194854736
2016-11-13 21:00:00,3.16445446014404,2.45516228675842,2.28205966949463,4.40007162094116,1.56533789634705,1.88408888490699E-09,3.53009223937988
2016-11-13 22:00:00,3.10689258575439,2.45516228675842,2.35814118385315,4.39999437332153,1.62826001644135,1.88408888490699E-09,3.5085620880127
2016-11-13 23:00:00,3.02816867828369,2.45516228675842,2.43422961235046,4.40003156661987,1.68820989131928,1.88408888490699E-09,3.48814868927002
2016-11-14 00:00:00,2.99998474121094,2.45516228675842,2.45566034317017,4.40008497238159,1.74544608592987,1.88408888490699E-09,3.46877765655518
2016-11-14 01:00:00,3.61281490325928,2.45516228675842,2.45569658279419,4.40003728866577,1.80011057853699,1.88408888490699E-09,3.45053863525391
2016-11-14 02:00:00,3.64556217193604,2.45516228675842,2.45569658279419,4.40004968643189,1.85235905647278,1.88408888490699E-09,3.43304824829102
2016-11-14 03:00:00,3.65384674072266,2.45516228675842,2.45569658279419,4.39989709854126,1.90227389335632,1.88408888490699E-09,3.41647720336914
2016-11-14 04:00:00,4.20003890991211,0.127195477485657,0,4.40000677108765,1.94994938373566,1.88408888490699E-09,3.40043544769287
2016-11-14 05:00:00,4.19999122619629,0.140662595629692,0,4.40007543563843,1.99545812606812,1.88408888490699E-09,3.38471031188965
2016-11-14 06:00:00,4.23335456848145,0.249094232916832,0,4.39999628067017,2.03888440132141,1.88408888490699E-09,3.36877059936523
2016-11-14 07:00:00,4.26376342773438,0.357759296894073,0,4.40001726150513,2.08031916618347,1.88408888490699E-09,3.35232543945312
2016-11-14 08:00:00,4.28894519805908,0.466436088085175,0,4.40001535415649,2.11984086036682,1.88408888490699E-09,3.33527946472168
2016-11-14 09:00:00,4.31380844116211,0.575110912322998,0,4.4000449180603,2.15749502182007,1.88408888490699E-09,3.31729412078857
2016-11-14 10:00:00,4.34054470062256,0.683774650096893,0,4.40002298355103,2.19334816932678,1.88408888490699E-09,3.29734039306641
2016-11-14 11:00:00,4.37068557739258,0.792444109916687,0,4.39996576309204,2.2274444103241,1.88408888490699E-09,3.27451515197754
